	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
Auxenochlorella_protothecoides	0.0	2019.0	748.0	3624.0	3931.0	4128.0	3675.0	3633.0	3140.0	2772.0
Chlorella_A99	2019.0	0.0	527.0	2136.0	2275.0	2327.0	2087.0	2127.0	1802.0	1697.0
Chlorella_KRBP	748.0	527.0	0.0	732.0	761.0	761.0	794.0	741.0	691.0	699.0
Chlorella_Sorokiniana1602	3624.0	2136.0	732.0	0.0	5438.0	5737.0	4055.0	5150.0	3557.0	3004.0
Chlorella_VariabilisNC64A	3931.0	2275.0	761.0	5438.0	0.0	6594.0	4447.0	5320.0	3884.0	3260.0
Chlorella_Vulgaris2111P	4128.0	2327.0	761.0	5737.0	6594.0	0.0	4616.0	5608.0	3992.0	3434.0
Coccomyxa_SubellipsoideaC169	3675.0	2087.0	794.0	4055.0	4447.0	4616.0	0.0	4001.0	3973.0	3409.0
Micractinium_SAG24180	3633.0	2127.0	741.0	5150.0	5320.0	5608.0	4001.0	0.0	3504.0	3053.0
Scenedesmus_NREL	3140.0	1802.0	691.0	3557.0	3884.0	3992.0	3973.0	3504.0	0.0	4564.0
Scenedesmus_PABB004	2772.0	1697.0	699.0	3004.0	3260.0	3434.0	3409.0	3053.0	4564.0	0.0
